Domain Code,Domain,Area Code (M49),i,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description,,,,,,,
ET,Temperature change,8,Albania,7271,Temperature change,7007,July,2019,2019,°C,1.776,E,Estimated value,,1.134272727,Barbados,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7008,August,2019,2019,°C,3.24,E,Estimated value,,2.9675,Belarus,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7009,September,2019,2019,°C,2.673,E,Estimated value,,2.034916667,Belgium,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7010,October,2019,2019,°C,2.918,E,Estimated value,,1.257083333,Belize,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7011,November,2019,2019,°C,3.482,E,Estimated value,,1.361416667,Benin,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7012,December,2019,2019,°C,2.017,E,Estimated value,,1.088916667,Bhutan,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7001,January,2019,2019,°C,-0.982,E,Estimated value,,0.731166667,Bolivia (Plurinational State of),12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7002,February,2019,2019,°C,-1.272,E,Estimated value,,2.224666667,Bosnia and Herzegovina,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7003,March,2019,2019,°C,0.679,E,Estimated value,,1.9725,Botswana,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7004,April,2019,2019,°C,0.994,E,Estimated value,,1.57825,Brazil,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7005,May,2019,2019,°C,1.562,E,Estimated value,,0.981833333,British Virgin Islands,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7006,June,2019,2019,°C,1.745,E,Estimated value,,1.3575,Brunei Darussalam,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7007,July,2019,2019,°C,2.252,E,Estimated value,,2.449583333,Bulgaria,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7008,August,2019,2019,°C,2.231,E,Estimated value,,1.245166667,Burkina Faso,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7009,September,2019,2019,°C,2.057,E,Estimated value,,#DIV/0!,Burundi,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7010,October,2019,2019,°C,1.996,E,Estimated value,,1.861083333,Cabo Verde,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7011,November,2019,2019,°C,0.76,E,Estimated value,,1.410833333,Cambodia,12,,,
ET,Temperature change,12,Algeria,7271,Temperature change,7012,December,2019,2019,°C,2.21,E,Estimated value,,1.438083333,Cameroon,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7001,January,2019,2019,°C,0.977,E,Estimated value,,1.242666667,Canada,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7002,February,2019,2019,°C,0.969,E,Estimated value,,1.272916667,Cayman Islands,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7003,March,2019,2019,°C,0.687,E,Estimated value,,1.2305,Central African Republic,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7004,April,2019,2019,°C,1.088,E,Estimated value,,1.424833333,Chad,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7005,May,2019,2019,°C,0.543,E,Estimated value,,1.472666667,Channel Islands,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7006,June,2019,2019,°C,0.971,E,Estimated value,,0.5195,Chile,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7007,July,2019,2019,°C,0.842,E,Estimated value,,1.465666667,China,12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7008,August,2019,2019,°C,1.352,E,Estimated value,,1.872833333,"China, Hong Kong SAR",12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7009,September,2019,2019,°C,1.155,E,Estimated value,,1.872833333,"China, Macao SAR",12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7010,October,2019,2019,°C,0.983,E,Estimated value,,1.466083333,"China, mainland",12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7011,November,2019,2019,°C,0.565,E,Estimated value,,1.400916667,"China, Taiwan Province of",12,,,
ET,Temperature change,16,American Samoa,7271,Temperature change,7012,December,2019,2019,°C,0.652,E,Estimated value,,0.478454545,Christmas Island,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7001,January,2019,2019,°C,-0.384,E,Estimated value,,0.78,Cocos (Keeling) Islands,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7002,February,2019,2019,°C,2.732,E,Estimated value,,1.28125,Colombia,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7003,March,2019,2019,°C,1.964,E,Estimated value,,1.104166667,Comoros,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7004,April,2019,2019,°C,1.144,E,Estimated value,,1.484416667,Congo,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7005,May,2019,2019,°C,-0.169,E,Estimated value,,1.004583333,Cook Islands,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7006,June,2019,2019,°C,2.401,E,Estimated value,,#DIV/0!,Costa Rica,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7007,July,2019,2019,°C,3.438,E,Estimated value,,1.54525,Côte d'Ivoire,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7008,August,2019,2019,°C,2.786,E,Estimated value,,2.281,Croatia,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7009,September,2019,2019,°C,1.895,E,Estimated value,,1.570916667,Cuba,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7010,October,2019,2019,°C,2.689,E,Estimated value,,1.577666667,Cyprus,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7011,November,2019,2019,°C,0.56,E,Estimated value,,2.604416667,Czechia,12,,,
ET,Temperature change,20,Andorra,7271,Temperature change,7012,December,2019,2019,°C,3.139,E,Estimated value,,1.987333333,Democratic People's Republic of Korea,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7001,January,2019,2019,°C,1.349,E,Estimated value,,1.639833333,Democratic Republic of the Congo,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7002,February,2019,2019,°C,2.505,E,Estimated value,,2.23975,Denmark,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7003,March,2019,2019,°C,3.157,E,Estimated value,,1.433222222,Djibouti,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7004,April,2019,2019,°C,2.435,E,Estimated value,,0.855833333,Dominica,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7005,May,2019,2019,°C,2.241,E,Estimated value,,1.341416667,Dominican Republic,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7006,June,2019,2019,°C,1.971,E,Estimated value,,1.108916667,Ecuador,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7007,July,2019,2019,°C,2.41,E,Estimated value,,1.022083333,Egypt,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7008,August,2019,2019,°C,2.01,E,Estimated value,,1.07725,El Salvador,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7009,September,2019,2019,°C,0.88,E,Estimated value,,1.521416667,Equatorial Guinea,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7010,October,2019,2019,°C,1.574,E,Estimated value,,0.852416667,Eritrea,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7011,November,2019,2019,°C,1.881,E,Estimated value,,2.4915,Estonia,12,,,
ET,Temperature change,24,Angola,7271,Temperature change,7012,December,2019,2019,°C,1.573,E,Estimated value,,1.417416667,Eswatini,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7001,January,2019,2019,°C,0.624,E,Estimated value,,1.361,Ethiopia,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7002,February,2019,2019,°C,0.95,E,Estimated value,,#DIV/0!,Falkland Islands (Malvinas),12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7003,March,2019,2019,°C,0.866,E,Estimated value,,0.814416667,Faroe Islands,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7004,April,2019,2019,°C,0.603,E,Estimated value,,1.02625,Fiji,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7005,May,2019,2019,°C,0.495,E,Estimated value,,1.665916667,Finland,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7006,June,2019,2019,°C,0.762,E,Estimated value,,1.910916667,France,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7007,July,2019,2019,°C,0.972,E,Estimated value,,1.547666667,French Guyana,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7008,August,2019,2019,°C,0.852,E,Estimated value,,0.81875,French Polynesia,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7009,September,2019,2019,°C,1.216,E,Estimated value,,0.25125,French Southern Territories,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7010,October,2019,2019,°C,1.076,E,Estimated value,,1.452666667,Gabon,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7011,November,2019,2019,°C,1.098,E,Estimated value,,1.53225,Gambia,12,,,
ET,Temperature change,660,Anguilla,7271,Temperature change,7012,December,2019,2019,°C,1.803,E,Estimated value,,1.816666667,Georgia,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7001,January,2019,2019,°C,-0.109,E,Estimated value,,2.3225,Germany,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7002,February,2019,2019,°C,2.577,E,Estimated value,,1.487333333,Ghana,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7003,March,2019,2019,°C,1.976,E,Estimated value,,1.378583333,Gibraltar,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7004,April,2019,2019,°C,0.185,E,Estimated value,,1.572833333,Greece,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7005,May,2019,2019,°C,0.228,E,Estimated value,,2.194916667,Greenland,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7006,June,2019,2019,°C,-2.635,E,Estimated value,,0.972083333,Grenada,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7007,July,2019,2019,°C,1.558,E,Estimated value,,0.904916667,Guadeloupe,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7008,August,2019,2019,°C,-0.272,E,Estimated value,,1.40825,Guatemala,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7009,September,2019,2019,°C,-0.067,E,Estimated value,,1.586166667,Guinea,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7010,October,2019,2019,°C,0.461,E,Estimated value,,1.637666667,Guinea-Bissau,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7011,November,2019,2019,°C,1.692,E,Estimated value,,1.27,Guyana,12,,,
ET,Temperature change,10,Antarctica,7271,Temperature change,7012,December,2019,2019,°C,0.809,E,Estimated value,,1.746083333,Haiti,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7001,January,2019,2019,°C,0.468,E,Estimated value,,1.53775,Holy See,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7002,February,2019,2019,°C,0.822,E,Estimated value,,1.11425,Honduras,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7003,March,2019,2019,°C,0.848,E,Estimated value,,2.583666667,Hungary,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7004,April,2019,2019,°C,0.342,E,Estimated value,,1.26725,Iceland,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7005,May,2019,2019,°C,0.503,E,Estimated value,,0.799916667,India,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7006,June,2019,2019,°C,0.689,E,Estimated value,,1.039416667,Indonesia,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7007,July,2019,2019,°C,0.999,E,Estimated value,,1.481166667,Iran (Islamic Republic of),12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7008,August,2019,2019,°C,0.996,E,Estimated value,,1.666,Iraq,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7009,September,2019,2019,°C,1.302,E,Estimated value,,1.118083333,Ireland,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7010,October,2019,2019,°C,0.945,E,Estimated value,,1.0685,Isle of Man,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7011,November,2019,2019,°C,1.097,E,Estimated value,,1.282666667,Israel,12,,,
ET,Temperature change,28,Antigua and Barbuda,7271,Temperature change,7012,December,2019,2019,°C,1.842,E,Estimated value,,1.74675,Italy,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7001,January,2019,2019,°C,0.387,E,Estimated value,,1.520416667,Jamaica,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7002,February,2019,2019,°C,0.592,E,Estimated value,,1.240833333,Japan,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7003,March,2019,2019,°C,-0.307,E,Estimated value,,1.4015,Jordan,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7004,April,2019,2019,°C,1.509,E,Estimated value,,1.854833333,Kazakhstan,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7005,May,2019,2019,°C,0.719,E,Estimated value,,1.4615,Kenya,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7006,June,2019,2019,°C,1.84,E,Estimated value,,1.375,Kiribati,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7007,July,2019,2019,°C,0.489,E,Estimated value,,1.64575,Kuwait,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7008,August,2019,2019,°C,0.462,E,Estimated value,,1.688416667,Kyrgyzstan,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7009,September,2019,2019,°C,0.429,E,Estimated value,,1.977583333,Lao People's Democratic Republic,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7010,October,2019,2019,°C,0.55,E,Estimated value,,2.731333333,Latvia,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7011,November,2019,2019,°C,1.784,E,Estimated value,,1.50675,Lebanon,12,,,
ET,Temperature change,32,Argentina,7271,Temperature change,7012,December,2019,2019,°C,0.81,E,Estimated value,,1.606,Lesotho,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7001,January,2019,2019,°C,2.876,E,Estimated value,,1.529333333,Liberia,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7002,February,2019,2019,°C,2.57,E,Estimated value,,0.89225,Libya,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7003,March,2019,2019,°C,1.115,E,Estimated value,,2.142,Liechtenstein,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7004,April,2019,2019,°C,-0.327,E,Estimated value,,2.885333333,Lithuania,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7005,May,2019,2019,°C,1.955,E,Estimated value,,2.157666667,Luxembourg,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7006,June,2019,2019,°C,4.046,E,Estimated value,,1.31425,Madagascar,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7007,July,2019,2019,°C,1.313,E,Estimated value,,1.151333333,Malawi,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7008,August,2019,2019,°C,1.839,E,Estimated value,,1.42425,Malaysia,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7009,September,2019,2019,°C,0.269,E,Estimated value,,1.029666667,Maldives,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7010,October,2019,2019,°C,3.27,E,Estimated value,,1.31725,Mali,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7011,November,2019,2019,°C,0.584,E,Estimated value,,1.333416667,Malta,12,,,
ET,Temperature change,51,Armenia,7271,Temperature change,7012,December,2019,2019,°C,3.349,E,Estimated value,,0.723833333,Marshall Islands,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7001,January,2019,2019,°C,1.028,E,Estimated value,,0.8705,Martinique,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7002,February,2019,2019,°C,1.066,E,Estimated value,,1.4765,Mauritania,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7003,March,2019,2019,°C,1.137,E,Estimated value,,1.312416667,Mauritius,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7004,April,2019,2019,°C,0.985,E,Estimated value,,1.15775,Mayotte,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7005,May,2019,2019,°C,1.103,E,Estimated value,,1.363416667,Mexico,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7006,June,2019,2019,°C,1.112,E,Estimated value,,0.7705,Micronesia (Federated States of),12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7007,July,2019,2019,°C,1.113,E,Estimated value,,#DIV/0!,Midway Island,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7008,August,2019,2019,°C,1.568,E,Estimated value,,1.784166667,Monaco,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7009,September,2019,2019,°C,1.365,E,Estimated value,,2.088333333,Mongolia,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7010,October,2019,2019,°C,1.271,E,Estimated value,,2.110416667,Montenegro,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7011,November,2019,2019,°C,1.533,E,Estimated value,,0.904416667,Montserrat,12,,,
ET,Temperature change,533,Aruba,7271,Temperature change,7012,December,2019,2019,°C,,O,Missing value,,1.575083333,Morocco,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7001,January,2019,2019,°C,2.744,E,Estimated value,,1.100166667,Mozambique,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7002,February,2019,2019,°C,1.456,E,Estimated value,,1.619833333,Myanmar,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7003,March,2019,2019,°C,1.912,E,Estimated value,,2.5945,Namibia,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7004,April,2019,2019,°C,1.293,E,Estimated value,,#DIV/0!,Nauru,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7005,May,2019,2019,°C,0.91,E,Estimated value,,0.67125,Nepal,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7006,June,2019,2019,°C,0.231,E,Estimated value,,2.108333333,Netherlands,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7007,July,2019,2019,°C,1.454,E,Estimated value,,1.109166667,Netherlands Antilles (former),12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7008,August,2019,2019,°C,0.381,E,Estimated value,,0.746583333,New Caledonia,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7009,September,2019,2019,°C,1.227,E,Estimated value,,0.99525,New Zealand,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7010,October,2019,2019,°C,2.092,E,Estimated value,,1.099333333,Nicaragua,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7011,November,2019,2019,°C,1.172,E,Estimated value,,1.24725,Niger,12,,,
ET,Temperature change,36,Australia,7271,Temperature change,7012,December,2019,2019,°C,3.117,E,Estimated value,,1.266666667,Nigeria,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7001,January,2019,2019,°C,0.837,E,Estimated value,,#DIV/0!,Niue,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7002,February,2019,2019,°C,3.663,E,Estimated value,,0.8255,Norfolk Island,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7003,March,2019,2019,°C,3.326,E,Estimated value,,2.1785,North Macedonia,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7004,April,2019,2019,°C,2.206,E,Estimated value,,1.32525,Norway,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7005,May,2019,2019,°C,-1.261,E,Estimated value,,1.0315,Oman,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7006,June,2019,2019,°C,5.043,E,Estimated value,,0.584666667,Pakistan,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7007,July,2019,2019,°C,2.865,E,Estimated value,,0.1765,Palau,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7008,August,2019,2019,°C,3.276,E,Estimated value,,1.27525,Palestine,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7009,September,2019,2019,°C,1.283,E,Estimated value,,1.259666667,Panama,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7010,October,2019,2019,°C,2.761,E,Estimated value,,0.688166667,Papua New Guinea,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7011,November,2019,2019,°C,2.519,E,Estimated value,,1.120083333,Paraguay,12,,,
ET,Temperature change,40,Austria,7271,Temperature change,7012,December,2019,2019,°C,3.14,E,Estimated value,,0.950333333,Peru,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7001,January,2019,2019,°C,3.095,E,Estimated value,,1.151916667,Philippines,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7002,February,2019,2019,°C,2.425,E,Estimated value,,#DIV/0!,Pitcairn,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7003,March,2019,2019,°C,2.222,E,Estimated value,,2.745833333,Poland,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7004,April,2019,2019,°C,0.608,E,Estimated value,,1.300166667,Portugal,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7005,May,2019,2019,°C,2.47,E,Estimated value,,1.137333333,Puerto Rico,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7006,June,2019,2019,°C,4.491,E,Estimated value,,1.810333333,Qatar,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7007,July,2019,2019,°C,1.414,E,Estimated value,,1.535666667,Republic of Korea,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7008,August,2019,2019,°C,1.271,E,Estimated value,,2.626416667,Republic of Moldova,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7009,September,2019,2019,°C,0.435,E,Estimated value,,1.478916667,Réunion,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7010,October,2019,2019,°C,3.37,E,Estimated value,,2.525416667,Romania,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7011,November,2019,2019,°C,0.237,E,Estimated value,,2.348916667,Russian Federation,12,,,
ET,Temperature change,31,Azerbaijan,7271,Temperature change,7012,December,2019,2019,°C,3.081,E,Estimated value,,#DIV/0!,Rwanda,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7001,January,2019,2019,°C,1.493,E,Estimated value,,1.531166667,"Saint Helena, Ascension and Tristan da Cunha",12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7002,February,2019,2019,°C,3.311,E,Estimated value,,0.904416667,Saint Kitts and Nevis,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7003,March,2019,2019,°C,1.044,E,Estimated value,,0.94725,Saint Lucia,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7004,April,2019,2019,°C,1.599,E,Estimated value,,0.183,Saint Pierre and Miquelon,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7005,May,2019,2019,°C,1.514,E,Estimated value,,0.959416667,Saint Vincent and the Grenadines,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7006,June,2019,2019,°C,1.741,E,Estimated value,,0.803166667,Samoa,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7007,July,2019,2019,°C,0.988,E,Estimated value,,1.801166667,San Marino,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7008,August,2019,2019,°C,1.068,E,Estimated value,,1.373333333,Sao Tome and Principe,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7009,September,2019,2019,°C,1.062,E,Estimated value,,1.749666667,Saudi Arabia,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7010,October,2019,2019,°C,2.143,E,Estimated value,,1.482666667,Senegal,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7011,November,2019,2019,°C,1.251,E,Estimated value,,2.384,Serbia,12,,,
ET,Temperature change,44,Bahamas,7271,Temperature change,7012,December,2019,2019,°C,2.144,E,Estimated value,,1.185833333,Seychelles,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7001,January,2019,2019,°C,3.052,E,Estimated value,,1.519583333,Sierra Leone,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7002,February,2019,2019,°C,1.071,E,Estimated value,,#DIV/0!,Singapore,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7003,March,2019,2019,°C,-0.397,E,Estimated value,,2.581583333,Slovakia,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7004,April,2019,2019,°C,0.746,E,Estimated value,,2.514416667,Slovenia,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7005,May,2019,2019,°C,2.215,E,Estimated value,,0.598666667,Solomon Islands,12,,,
ET,Temperature change,48,Bahrain,7271,Temperature change,7006,June,2019,2019,°C,3.478,E,Estimated value,,1.656833333,Somalia,12,,,
